"","logFC","logCPM","F","PValue","FDR"
"ENSG00000120129",-3.69300571900753,6.80952572684772,241.394443696976,3.93966462745615e-15,5.99191614881841e-11
"ENSG00000123358",-4.75728748880398,6.71741784613613,217.061552473288,9.0250092765183e-15,5.99191614881841e-11
"ENSG00000170345",-6.75353658786249,7.61981630652169,196.722436061649,9.50544574398774e-15,5.99191614881841e-11
"ENSG00000153234",-4.39776164682817,3.33744014372071,172.277274967232,6.37487494091924e-14,3.0138815001931e-10
"ENSG00000120738",-5.19752769312758,7.02083170642096,131.578340579842,3.65968015841701e-12,1.38416422951648e-08
"ENSG00000251705",-4.1781258678092,4.17210594168193,112.21535942845,5.24371431557849e-12,1.65273135703175e-08
"ENSG00000142871",-3.18337232746806,6.4726478702943,130.451923813004,6.15000462317089e-12,1.66146767755407e-08
"ENSG00000171223",-3.51514579700603,5.94074962799495,120.013951669231,1.30310810937544e-11,2.84841851489054e-08
"ENSG00000162772",-4.06877620532478,4.96927128049133,108.732280217297,1.35560079498783e-11,2.84841851489054e-08
"ENSG00000177606",-2.87425835924778,6.65499575093247,116.976669902932,2.16514294447034e-11,4.09450182228787e-08
"ENSG00000159388",-2.46185653257923,6.6143050583544,111.90735444484,3.55707913819117e-11,6.11526578021212e-08
"ENSG00000125740",-8.16723059236138,6.15866805128843,103.162751823029,9.54680078928327e-11,1.5044962477178e-07
"ENSG00000143333",-3.15359481187415,3.29181454089083,73.3119231255966,8.53519813054019e-10,1.24160870651266e-06
"ENSG00000128016",-3.07200888809521,6.81189028164453,81.4895082913154,1.06972408575037e-09,1.44193073081912e-06
"ENSG00000090104",-4.47286310480707,3.83027030625796,72.8039690839284,1.14372380954401e-09,1.44193073081912e-06
"ENSG00000187479",-2.09994420724571,4.10878524875788,75.6076186010079,1.34992250502429e-09,1.59552403078214e-06
"ENSG00000130513",-2.30128377314941,4.89051930567235,74.8842111800287,2.08000552447547e-09,2.31382261607975e-06
