"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000120129",-3.51169341301245,5.61435811504286,-13.0805041717222,3.05641988801375e-13,5.7799956502228e-09,19.1663774669343
"ENSG00000123358",-4.25337259890629,4.76839876646974,-11.3574632459663,7.98612092695106e-12,7.55127664247858e-08,16.249930752986
"ENSG00000170345",-6.01894331269619,4.05049475196765,-10.4004438925578,5.66446258582276e-11,3.57068839868314e-07,14.1248585250378
"ENSG00000142871",-2.82205836201807,5.49820209300572,-9.67225883922415,2.7135529575088e-10,1.28289999948622e-06,13.3021941190663
"ENSG00000177606",-2.63755219975205,5.8377717891508,-8.82590226458729,1.82704580989096e-09,6.9102526621696e-06,11.5598752799954
"ENSG00000171223",-3.1121896747473,4.75629475606442,-8.64805376239893,2.76054139651181e-09,8.70076639157248e-06,11.1575151722719
"ENSG00000120738",-4.51512819743824,4.63828677239454,-8.57190421182226,3.29835543436173e-09,8.91074280274495e-06,10.9044405624898
"ENSG00000159388",-2.20470721700102,6.01434172317679,-8.49553873804111,3.94597585461138e-09,9.32779367331947e-06,10.8598843520951
"ENSG00000130513",-2.2627671274166,4.29036072673177,-8.31070781200806,6.10914745073603e-09,1.28366763823188e-05,10.4228658782466
"ENSG00000153234",-3.80744598056514,1.588180664911,-7.7732253763206,2.23385097631294e-08,4.2244355813054e-05,8.56550019200028
"ENSG00000146278",-0.596217085403052,6.42919585079966,-7.02836733452869,1.43156933686951e-07,0.000208249290227226,7.51690137103762
"ENSG00000163611",-0.515613366079305,3.43640843332798,-7.04747649008435,1.3637901802129e-07,0.000208249290227226,7.41814909258723
"ENSG00000198695",1.9716486956341,11.5773785059147,7.0501619092828,1.35453055085212e-07,0.000208249290227226,7.39950942627987
"ENSG00000187479",-1.87709566103831,3.64452805613726,-6.78925300665045,2.63603219092293e-07,0.000356071462589597,6.88886260868039
"ENSG00000090104",-4.07961018824263,1.66254862021804,-6.6565966829125,3.70894242345487e-07,0.000467598734466367,6.2264853522927
"ENSG00000142178",-1.47854715327089,4.62176303849103,-6.43474481873048,6.59309678469446e-07,0.000692678073863095,6.06878459722893
"ENSG00000251705",-3.17177827239294,2.46866670047624,-6.4582106105873,6.20238635930724e-07,0.000689960755534466,5.95119755106223
"ENSG00000130522",-1.21194238782179,5.63776461866042,-6.36308108063175,7.94806063115184e-07,0.000770326956151626,5.89429160374762
"ENSG00000087074",-1.31952965624162,4.84135202034553,-6.35362295965901,8.14686643912671e-07,0.000770326956151626,5.87006713374521
"ENSG00000128016",-2.43939924829302,5.80807595222451,-6.31071060719219,9.11419640374256e-07,0.000820755086624646,5.76104949346538
"ENSG00000160888",-1.53239523725053,5.76208955100439,-6.17552066190843,1.299343701879e-06,0.00106834298896669,5.42695101327667
"ENSG00000198435",-1.21880211912847,2.27935922874436,-6.26547045627304,1.02605929628178e-06,0.000881991243272033,5.36729687075192
"ENSG00000185650",-1.04002639757827,7.83381052019409,-6.06500471127216,1.73842447619828e-06,0.00131501381077542,5.14320501739825
"ENSG00000158050",-2.28176229022857,0.534449415310573,-6.4725271402073,5.9756385499501e-07,0.000689960755534466,5.12129688883014
"ENSG00000216937",-0.666735229053969,1.81569876032753,-6.11017445339413,1.54320930935132e-06,0.00121598463538095,4.74346725978216
"ENSG00000096060",3.60445241385707,7.84952871424277,5.87068814027981,2.90760283631389e-06,0.00211483373990507,4.66247846145018
"ENSG00000162772",-3.35711508560275,3.31836333646973,-5.7946889137353,3.55833178818263e-06,0.00240327187308292,4.4442300357706
"ENSG00000114315",-1.20474874934731,5.01407183669068,-5.67011014522512,4.95912030493401e-06,0.00323385945126231,4.15268518625799
"ENSG00000134107",-0.851371472087582,6.72454934362674,-5.62510523464135,5.59230715668332e-06,0.00352520402133461,4.0415684275409
"ENSG00000064999",0.3301694573299,5.94915753927343,5.59446499682431,6.06947785242105e-06,0.00359812827559285,3.95776891975146
"ENSG00000176058",0.673274475237785,5.09993118141961,5.54905523572645,6.85325234100224e-06,0.00392732894002101,3.84916697303733
